                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1002,                 1.1254,                 1.0851,                 0.9751,                0.96873,                 0.9847,                0.69944,                0.96243,                0.47384,                 1.0113,              0.0033196,              0.0033196,              0.0033196
                      2,                 1.0015,                0.56207,                 1.0088,                0.97413,                0.97351,                0.98434,                0.70899,                0.94826,                0.42332,                 1.0034,              0.0066398,              0.0066398,              0.0066398
                      3,                 1.0198,                0.56824,                 1.0218,                 0.9567,                0.98057,                0.98378,                 0.6926,                0.96421,                0.48946,                 1.0259,              0.0099467,              0.0099467,              0.0099467
                      4,                 1.0235,                0.57545,                 1.0315,                0.95769,                0.97154,                0.97979,                0.69324,                0.95435,                0.46781,                 1.0156,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0202,                0.54554,                 1.0276,                0.96277,                0.97952,                0.98515,                 0.7046,                0.93905,                  0.445,                 1.0177,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.0085,                0.52896,                 1.0247,                   0.97,                0.95867,                0.98533,                0.71738,                0.95119,                0.43537,                 1.0185,               0.009901,               0.009901,               0.009901
                      7,                0.99766,                0.51269,                 1.0235,                0.97524,                0.96838,                0.98812,                0.72132,                0.93881,                0.43686,                 1.0148,              0.0098812,              0.0098812,              0.0098812
                      8,                0.98397,                0.50002,                 1.0168,                 0.9731,                0.97324,                0.99051,                0.72264,                0.93793,                0.41931,                 1.0174,              0.0098614,              0.0098614,              0.0098614
                      9,                0.97406,                 0.4886,                 1.0114,                0.96541,                0.98753,                0.98867,                0.72989,                0.92324,                0.40676,                 1.0127,              0.0098416,              0.0098416,              0.0098416
                     10,                0.97537,                0.48837,                 1.0144,                0.97173,                0.98271,                0.98836,                0.72508,                0.94433,                0.41186,                 1.0136,              0.0098218,              0.0098218,              0.0098218
                     11,                0.97158,                0.47623,                 1.0098,                0.96152,                0.98808,                0.99022,                0.72439,                0.92954,                0.40551,                 1.0038,               0.009802,               0.009802,               0.009802
                     12,                0.96557,                 0.4713,                  1.005,                0.96979,                0.99232,                0.98959,                0.73347,                 0.9161,                0.39956,                 1.0028,              0.0097822,              0.0097822,              0.0097822
                     13,                0.95777,                0.46396,                 1.0009,                0.97435,                0.97985,                0.98907,                0.73638,                0.91989,                0.38396,                0.99504,              0.0097624,              0.0097624,              0.0097624
                     14,                0.95239,                0.45713,                0.99883,                0.96639,                0.98939,                0.98869,                0.73708,                0.91884,                0.38961,                 1.0058,              0.0097426,              0.0097426,              0.0097426
                     15,                0.95718,                0.45685,                0.99691,                0.96999,                0.98535,                0.98924,                0.73108,                0.92958,                0.38388,                0.99554,              0.0097228,              0.0097228,              0.0097228
                     16,                0.94691,                0.45157,                0.99497,                0.97389,                0.99001,                 0.9924,                0.73945,                0.92039,                 0.3768,                 0.9897,               0.009703,               0.009703,               0.009703
                     17,                0.94459,                0.44369,                 0.9899,                0.97676,                0.97913,                 0.9904,                0.74632,                 0.9079,                0.37138,                0.98583,              0.0096832,              0.0096832,              0.0096832
                     18,                0.93712,                0.44226,                0.98692,                0.97305,                0.99005,                0.99114,                0.74012,                0.91451,                0.36875,                0.99121,              0.0096634,              0.0096634,              0.0096634
                     19,                0.94121,                0.44163,                0.99034,                0.96995,                 0.9854,                0.98926,                0.73052,                0.91458,                0.36674,                0.98505,              0.0096436,              0.0096436,              0.0096436
                     20,                0.93115,                0.43528,                0.98259,                0.97386,                0.98569,                0.98922,                0.74025,                0.91204,                0.36947,                0.98431,              0.0096238,              0.0096238,              0.0096238
                     21,                0.92926,                0.43235,                0.98001,                0.97487,                0.98871,                0.99124,                0.73577,                0.91627,                 0.3712,                0.97928,               0.009604,               0.009604,               0.009604
                     22,                0.93054,                0.42967,                0.98073,                 0.9726,                0.98567,                0.98894,                0.74205,                0.90714,                0.36283,                 0.9862,              0.0095842,              0.0095842,              0.0095842
                     23,                0.92668,                0.42973,                0.97925,                0.97258,                0.98472,                 0.9906,                0.74795,                0.89712,                0.36141,                0.98037,              0.0095644,              0.0095644,              0.0095644
                     24,                0.92882,                0.42723,                0.98136,                0.97111,                0.99125,                0.98873,                0.74439,                0.90999,                0.35814,                 0.9791,              0.0095446,              0.0095446,              0.0095446
                     25,                0.92072,                0.42358,                0.97485,                0.97941,                0.98553,                0.99034,                0.74103,                0.91154,                0.35993,                0.98966,              0.0095248,              0.0095248,              0.0095248
                     26,                 0.9156,                0.42324,                0.97747,                0.97211,                0.99059,                0.99018,                0.74356,                0.90545,                0.35509,                 0.9855,               0.009505,               0.009505,               0.009505
                     27,                0.91891,                0.41904,                0.97654,                0.97415,                0.99117,                0.98966,                0.74427,                0.89767,                 0.3538,                0.97519,              0.0094852,              0.0094852,              0.0094852
                     28,                0.91549,                0.41773,                0.97512,                0.97444,                0.98574,                0.98975,                 0.7455,                0.90285,                 0.3531,                0.98122,              0.0094654,              0.0094654,              0.0094654
